"ShellPestID","OysterID","SampleEventID","PhotoSurface","DateProcessed","ProcessedBy","TotalArea","TotalHeight","TotalLength","ClionaArea","PolydoraArea","ClamCount","ClamAverageDiameter","DataStatus","DateEntered","EnteredBy","DateProofed","ProofedBy","DateCompleted","CompletedBy","OldSampleNumber","Comments","AdminNotes"
"ABS14BI.JPG","ABCC1601-14","ABCOLL_20160111_1_0024_1","BI","2017-06-06 00:00:00","ML",4597.93,80.05,73.92,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-14",NA,NA
"ABS14BE.JPG","ABCC1601-14","ABCOLL_20160111_1_0024_1","BE","2017-06-06 00:00:00","ML",4577.91,87.2,70.63,1764.41,689.9,2,2.73,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-14",NA,NA
"ABS15TI.JPG","ABCC1601-15","ABCOLL_20160111_1_0024_1","TI","2017-06-06 00:00:00","ML",544.8,26.58,22.6,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-15",NA,NA
"ABS15TE.JPG","ABCC1601-15","ABCOLL_20160111_1_0024_1","TE","2017-06-06 00:00:00","ML",565.39,27.01,24.95,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-15",NA,NA
"ABS15BI.JPG","ABCC1601-15","ABCOLL_20160111_1_0024_1","BI","2017-06-06 00:00:00","ML",672.67,28.84,26.5,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-15",NA,NA
"ABS15BE.JPG","ABCC1601-15","ABCOLL_20160111_1_0024_1","BE","2017-06-06 00:00:00","ML",686.47,32.01,28.46,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-15",NA,NA
"ABS16TI.JPG","ABCC1601-16","ABCOLL_20160111_1_0024_1","TI","2017-06-06 00:00:00","ML",2163.69,52.03,51.14,0,0,11,1.41,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-16","TotalArea and ClamCount outside expected range",NA
"ABS16TE.JPG","ABCC1601-16","ABCOLL_20160111_1_0024_1","TE","2017-06-06 00:00:00","ML",2535.89,65.47,48.96,1112.6,170.89,1,2,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-16",NA,NA
"ABS16BI.JPG","ABCC1601-16","ABCOLL_20160111_1_0024_1","BI","2017-06-06 00:00:00","ML",2997.31,64.34,56.77,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-16",NA,NA
"ABS16BE.JPG","ABCC1601-16","ABCOLL_20160111_1_0024_1","BE","2017-06-06 00:00:00","ML",3099.38,74.59,56.32,65.1,782.48,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-16",NA,NA
"ABS17TI.JPG","ABCC1601-17","ABCOLL_20160111_1_0024_1","TI","2017-06-06 00:00:00","ML",2346.09,55.69,48.84,0,0,12,1.3,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-17","ClamCount outside expected range",NA
"ABS17TE.JPG","ABCC1601-17","ABCOLL_20160111_1_0024_1","TE","2017-06-06 00:00:00","ML",2377.54,59.91,53.46,0,207.54,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-17",NA,NA
"ABS17BI.JPG","ABCC1601-17","ABCOLL_20160111_1_0024_1","BI","2017-06-06 00:00:00","ML",2646.84,60.72,55.14,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-17",NA,NA
"ABS17BE.JPG","ABCC1601-17","ABCOLL_20160111_1_0024_1","BE","2017-06-06 00:00:00","ML",2719.03,64.19,56.76,179.78,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-17",NA,NA
"ABS18TI.JPG","ABCC1601-18","ABCOLL_20160111_1_0024_1","TI","2017-06-07 00:00:00","ML",375.35,21.96,21.27,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-18",NA,NA
"ABS18TE.JPG","ABCC1601-18","ABCOLL_20160111_1_0024_1","TE","2017-06-07 00:00:00","ML",386.81,19.25,19.77,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-18",NA,NA
"ABS18BI.JPG","ABCC1601-18","ABCOLL_20160111_1_0024_1","BI","2017-06-07 00:00:00","ML",421.73,22.37,23.82,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-18",NA,NA
"ABS18BE.JPG","ABCC1601-18","ABCOLL_20160111_1_0024_1","BE","2017-06-07 00:00:00","ML",494.43,24.6,26.29,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-18",NA,NA
"ABS19TI.JPG","ABCC1601-19","ABCOLL_20160111_1_0024_1","TI","2017-06-07 00:00:00","ML",2749.88,59.98,61.93,0,12.29,4,1.4,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-19",NA,NA
"ABS19TE.JPG","ABCC1601-19","ABCOLL_20160111_1_0024_1","TE","2017-06-07 00:00:00","ML",3233.12,75.08,60.69,0,610.83,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-19",NA,NA
"ABS19BI.JPG","ABCC1601-19","ABCOLL_20160111_1_0024_1","BI","2017-06-07 00:00:00","ML",3515.76,72.85,63.78,0,0,3,1.51,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-19",NA,NA
"ABS19BE.JPG","ABCC1601-19","ABCOLL_20160111_1_0024_1","BE","2017-06-07 00:00:00","ML",4041.91,82.89,71.62,221.05,529.12,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-19",NA,NA
"ABS20TI.JPG","ABCC1601-20","ABCOLL_20160111_1_0024_1","TI","2017-06-07 00:00:00","ML",1238.36,40.56,36.88,0,0,0,0,"Completed",NA,NA,NA,NA,"2024-03-01 00:00:00","Matthew Davis","AB-S-20",NA,NA
